"Nomor","Keterangan","Jumlah","Volume","Harga","Jenis Barang","Label"
"1619","Merbau Basah 500 x 2 x 20","4","0.08","478000","Papan","Kurang Laris"
"1620","Merbau Basah 260 x 6 x 15","6","0.1404","458640","Balok","Cukup Laris"
"1621","Merbau Basah 280 x 6 x 15","2","0.0504","493920","Balok","Kurang Laris"
"1622","Merbau Oven 400 x 3 x 20","1","0.024","523200","Papan","Kurang Laris"
"1623","Merbau Basah 100 x 6 x 15","1","0.009","163800","Balok","Cukup Laris"
"1624","Merbau Basah 110 x 6 x 15","1","0.0099","180180","Balok","Kurang Laris"
"1625","Merbau Basah 120 x 6 x 15","1","0.0108","196560","Balok","Kurang Laris"
"1626","Merbau Basah 240 x 6 x 15","4","0.0864","423360","Balok","Kurang Laris"
"1627","Merbau Basah 90 x 6 x 15","1","0.0081","147420","Balok","Cukup Laris"
"1628","Merbau Oven 400 x 4 x 25","2","0.08","876000","Papan","Cukup Laris"
"1629","Meranti Oven  400 x 6 x 15","20","0.72","244800","Balok","Sangat Laris"
"1630","Merbau Oven 400 x 3 x 25","1","0.03","657000","Papan","Kurang Laris"
"1631","Merbau Oven 400 x 4 x 25","1","0.04","876000","Papan","Cukup Laris"
"1632","Merbau Basah 140 x 6 x 15","2","0.0252","229320","Balok","Kurang Laris"
"1633","Merbau Basah 150 x 6 x 15","3","0.0405","245700","Balok","Cukup Laris"
"1634","Merbau Basah 230 x 6 x 15","1","0.0207","405720","Balok","Cukup Laris"
"1635","Merbau Basah 240 x 6 x 15","1","0.0216","423360","Balok","Kurang Laris"
"1636","Merbau Basah 90 x 6 x 15","1","0.0081","147420","Balok","Cukup Laris"
"1637","Merbau Basah 400 x 4 x 25","2","0.08","900000","Papan","Kurang Laris"
"1638","Samarinda Oven 400 x 3 x 30","1","0.036","374400","Papan","Sangat Laris"
"1639","Samarinda Oven 400 x 4 x 30","1","0.048","499200","Papan","Sangat Laris"
"1640","Samarinda Oven 400 x 6 x 15","3","0.108","345600","Balok","Sangat Laris"
"1641","Merbau Oven 500 x 3 x 30","8","0.36","1030500","Papan","Kurang Laris"
"1642","Samarinda Oven 500 x 4 x 30","1","0.06","624000","Papan","Cukup Laris"
"1643","Meranti Oven  400 x 4 x 25","2","0.08","312000","Papan","Cukup Laris"
"1644","Samarinda Oven 400 x 3 x 30","3","0.108","374400","Papan","Sangat Laris"
"1645","Meranti Oven  400 x 6 x 12 ","16","0.4608","203040","Balok","Cukup Laris"
"1646","Samarinda Oven 400 x 6 x 17","2","0.0816","408000","Balok","Cukup Laris"
"1647","Samarinda Oven 400 x 4 x 20","2","0.064","323200","Papan","Sangat Laris"
"1648","Samarinda Oven 400 x 4 x 25","3","0.12","408000","Papan","Sangat Laris"
"1649","Samarinda Oven 400 x 6 x 15","5","0.18","345600","Balok","Sangat Laris"
"1650","Samarinda Oven 450 x 6 x 15","1","0.0405","409050","Balok","Cukup Laris"
"1651","Samarinda Oven 500 x 4 x 30","2","0.12","624000","Papan","Cukup Laris"
"1652","Samarinda Oven 400 x 4 x 25","3","0.12","408000","Papan","Sangat Laris"
"1653","Samarinda Oven 400 x 6 x 12","5","0.144","276480","Balok","Sangat Laris"
"1654","Samarinda Oven 450 x 6 x 15","5","0.2025","409050","Balok","Cukup Laris"
"1655","Merbau Oven 400 x 3 x 20","2","0.048","523200","Papan","Kurang Laris"
"1656","Merbau Oven 400 x 4 x 15","2","0.048","566400","Papan","Kurang Laris"
"1657","Samarinda Oven 300 x 6 x 15","2","0.054","259200","Balok","Sangat Laris"
"1658","Samarinda Oven 400 x 6 x 12","4","0.1152","276480","Balok","Sangat Laris"
"1659","Samarinda Oven 400 x 3 x 30","3","0.108","374400","Papan","Sangat Laris"
"1660","Samarinda Oven 400 x 5 x 15","30","0.9","300000","Balok","Sangat Laris"
"1661","Samarinda Oven 500 x 5 x 15","20","0.75","393750","Balok","Sangat Laris"
"1662","Samarinda Oven 250 x 4 x 30","4","0.12","312000","Papan","Kurang Laris"
"1663","Merbau Oven 300 x 4 x 25","3","0.09","657000","Papan","Kurang Laris"
"1664","Merbau Oven 300 x 4 x 30","2","0.072","806400","Papan","Kurang Laris"
"1665","Merbau Oven 400 x 6 x 15","28","1.008","732600","Balok","Cukup Laris"
"1666","Merbau Oven 400 x 3 x 25","8","0.24","657000","Papan","Kurang Laris"
"1667","Samarinda Oven 400 x 6 x 15","13","0.468","363600","Balok","Sangat Laris"
"1668","Merbau Oven 400 x 3 x 20","3","0.072","523200","Papan","Kurang Laris"
"1669","Merbau Oven 400 x 3 x 30","6","0.216","806400","Papan","Cukup Laris"
"1670","Merbau Oven 400 x 5 x 30","7","0.42","1344000","Balken","Kurang Laris"
"1671","Merbau Oven 400 x 6 x 17","2","0.0816","840480","Balok","Kurang Laris"
"1672","Merbau Oven 500 x 3 x 30","2","0.09","1030500","Papan","Kurang Laris"
"1673","Merbau Oven 500 x 6 x 17","4","0.204","1076100","Balok","Kurang Laris"
"1674","Merbau Basah 400 x 2 x 20","2","0.032","382400","Papan","Cukup Laris"
"1675","Merbau Oven 250 x 6 x 15","2","0.045","463500","Balok","Sangat Laris"
"1676","Merbau Oven 300 x 6 x 15","3","0.081","540000","Balok","Cukup Laris"
"1677","Merbau Oven 400 x 3 x 25","1","0.03","657000","Papan","Kurang Laris"
"1678","Merbau Oven 400 x 3 x 30","4","0.144","806400","Papan","Cukup Laris"
"1679","Merbau Oven 400 x 5 x 20","1","0.04","880000","Balken","Kurang Laris"
"1680","Merbau Oven 400 x 5 x 25","2","0.1","1100000","Balken","Kurang Laris"
"1681","Merbau Oven 400 x 6 x 15","4","0.144","723600","Balok","Cukup Laris"
"1682","Samarinda Oven 250 x 4 x 25","5","0.125","267500","Papan","Cukup Laris"
"1683","Samarinda Oven 400 x 3 x 30","5","0.18","392400","Papan","Sangat Laris"
"1684","Samarinda Oven 400 x 4 x 20","7","0.224","339200","Papan","Sangat Laris"
"1685","Samarinda Oven 400 x 4 x 25","1","0.04","428000","Papan","Sangat Laris"
"1686","Samarinda Oven 400 x 6 x 12","9","0.2592","290880","Balok","Sangat Laris"
"1687","Samarinda Oven 500 x 6 x 12","4","0.144","381600","Balok","Kurang Laris"
"1688","Merbau Oven 300 x 6 x 15","7","0.189","540000","Balok","Cukup Laris"
"1689","Merbau Oven 400 x 3 x 20","3","0.072","523200","Papan","Kurang Laris"
"1690","Merbau Oven 400 x 3 x 30","3","0.108","806400","Papan","Cukup Laris"
"1691","Merbau Oven 400 x 6 x 12","1","0.0288","578880","Balok","Cukup Laris"
"1692","Merbau Basah 400 x 15 x 15","3","0.27","2070000","Balken","Kurang Laris"
"1693","Merbau Basah 400 x 2 x 20","13","0.208","382400","Papan","Cukup Laris"
"1694","Merbau Basah 400 x 2 x 30","4","0.096","588000","Papan","Kurang Laris"
"1695","Samarinda Oven 300 x 4 x 25","23","0.69","321000","Papan","Cukup Laris"
"1696","Samarinda Oven 300 x 6 x 15","3","0.081","272700","Balok","Sangat Laris"
"1697","Samarinda Oven 400 x 4 x 20","3","0.096","339200","Papan","Sangat Laris"
"1698","Samarinda Oven 400 x 4 x 30","33","1.584","523200","Papan","Sangat Laris"
"1699","Samarinda Oven 400 x 6 x 12","4","0.1152","290880","Balok","Sangat Laris"
"1700","Merbau Oven 400 x 3 x 30","5","0.18","815400","Papan","Cukup Laris"
"1701","Merbau Oven 400 x 4 x 20","1","0.032","705600","Papan","Kurang Laris"
"1702","Meranti Oven  400 x 3 x 25","3","0.09","234000","Papan","Kurang Laris"
"1703","Merbau Oven 450 x 6 x 15","1","0.0405","834300","Balok","Kurang Laris"
"1704","Samarinda Oven 400 x 3 x 25","1","0.03","330000","Papan","Sangat Laris"
"1705","Samarinda Oven 400 x 3 x 30","1","0.036","403200","Papan","Sangat Laris"
"1706","Samarinda Oven 400 x 4 x 25","2","0.08","440000","Papan","Sangat Laris"
"1707","Merbau Oven 400 x 3 x 30","1","0.036","806400","Papan","Cukup Laris"
"1708","Merbau Oven 400 x 5 x 15","4","0.12","618000","Balok","Kurang Laris"
"1709","Merbau Oven 500 x 5 x 15","2","0.075","791250","Balok","Cukup Laris"
"1710","Merbau Oven 250 x 4 x 20","3","0.06","436000","Papan","Cukup Laris"
"1711","Merbau Oven 250 x 4 x 30","1","0.03","672000","Papan","Kurang Laris"
"1712","Merbau Basah 150 x 6 x 15","1","0.0135","245700","Balok","Cukup Laris"
"1713","Merbau Basah 200 x 6 x 15","2","0.036","352800","Balok","Cukup Laris"
"1714","Merbau Oven 250 x 6 x 15","2","0.045","463500","Balok","Sangat Laris"
"1715","Samarinda Oven 400 x 3 x 30","3","0.108","403200","Papan","Sangat Laris"
"1716","Samarinda Oven 500 x 4 x 25","2","0.1","550000","Papan","Sangat Laris"
"1717","Samarinda Oven 400 x 5 x 15","10","0.3","315000","Balok","Sangat Laris"
"1718","Merbau Oven 400 x 3 x 30","10","0.36","806400","Papan","Cukup Laris"
"1719","Merbau Oven 400 x 5 x 30","10","0.6","1344000","Balken","Kurang Laris"
"1720","Merbau Oven 500 x 4 x 25","1","0.05","1120000","Papan","Kurang Laris"
"1721","Merbau Basah 190 x 6 x 15","1","0.0171","335160","Balok","Kurang Laris"
"1722","Merbau Basah 260 x 6 x 15","2","0.0468","458640","Balok","Cukup Laris"
"1723","Merbau Basah 400 x 4 x 25","1","0.04","860000","Papan","Kurang Laris"
"1724","Merbau Oven 400 x 5 x 30","2","0.12","1359000","Balken","Kurang Laris"
"1725","Merbau Oven 400 x 6 x 15","2","0.072","732600","Balok","Cukup Laris"
"1726","Merbau Basah 400 x 2 x 30","4","0.096","594000","Papan","Kurang Laris"
"1727","Samarinda Oven 250 x 6 x 15","1","0.0225","245250","Balok","Sangat Laris"
"1728","Samarinda Oven 300 x 6 x 15","1","0.027","279450","Balok","Sangat Laris"
"1729","Samarinda Oven 400 x 5 x 30","5","0.3","699000","Balken","Kurang Laris"
"1730","Samarinda Oven 300 x 4 x 30","3","0.108","412200","Papan","Kurang Laris"
"1731","Samarinda Oven 400 x 3 x 20","1","0.024","254400","Papan","Kurang Laris"
"1732","Samarinda Oven 400 x 3 x 25","5","0.15","330000","Papan","Sangat Laris"
"1733","Merbau Oven 500 x 3 x 20","2","0.06","669000","Papan","Kurang Laris"
"1734","Meranti Oven 400 x 4 x 30","2","0.096","398400","Papan","Kurang Laris"
"1735","Samarinda Oven 250 x 6 x 15","5","0.1125","238500","Balok","Sangat Laris"
"1736","Samarinda Oven 400 x 4 x 25","1","0.04","440000","Papan","Sangat Laris"
"1737","Samarinda Oven 400 x 4 x 30","4","0.192","537600","Papan","Sangat Laris"
"1738","Samarinda Oven 400 x 5 x 15","2","0.06","315000","Balok","Sangat Laris"
"1739","Samarinda Oven 400 x 5 x 30","4","0.24","684000","Balken","Kurang Laris"
"1740","Samarinda Oven 500 x 5 x 25","3","0.1875","700000","Balken","Cukup Laris"
"1741","Merbau Oven 250 x 6 x 15","15","0.3375","463500","Balok","Sangat Laris"
"1742","Merbau Oven 300 x 6 x 15","2","0.054","540000","Balok","Cukup Laris"
"1743","Merbau Oven 400 x 6 x 15","4","0.144","723600","Balok","Cukup Laris"
"1744","Samarinda Oven 400 x 3 x 30","4","0.144","403200","Papan","Sangat Laris"
"1745","Samarinda Oven 400 x 5 x 25","2","0.1","560000","Balken","Cukup Laris"
"1746","Merbau Oven 400 x 3 x 30","2","0.072","815400","Papan","Cukup Laris"
"1747","Merbau Oven 400 x 4 x 20","1","0.032","705600","Papan","Kurang Laris"
"1748","Merbau Basah 250 x 6 x 15","20","0.45","461250","Balok","Cukup Laris"
"1749","Merbau Basah 270 x 6 x 15","8","0.1944","482355","Balok","Kurang Laris"
"1750","Merbau Basah 280 x 6 x 15","4","0.1008","500220","Balok","Kurang Laris"
"1751","Merbau Basah 350 x 6 x 15","2","0.063","628425","Balok","Kurang Laris"
"1752","Merbau Oven 500 x 6 x 15","20","0.9","940500","Balok","Cukup Laris"
"1753","Meranti Oven  400 x 3 x 25","2","0.06","234000","Papan","Kurang Laris"
"1754","Merbau Basah 400 x 2 x 20","5","0.08","382400","Papan","Cukup Laris"
"1755","Merbau Basah 100 x 6 x 15","1","0.009","166050","Balok","Cukup Laris"
"1756","Meranti Oven 400 x 3 x 30","5","0.18","307800","Papan","Kurang Laris"
"1757","Meranti Oven  400 x 3 x 25","9","0.27","241500","Papan","Kurang Laris"
"1758","Merbau Basah 130 x 6 x 15","1","0.0117","212940","Balok","Kurang Laris"
"1759","Merbau Basah 290 x 6 x 15","2","0.0522","511560","Balok","Kurang Laris"
"1760","Meranti Oven  400 x 6 x 12 ","2","0.0576","195840","Balok","Cukup Laris"
"1761","Samarinda Oven 400 x 3 x 30","1","0.036","403200","Papan","Sangat Laris"
"1762","Samarinda Oven 400 x 4 x 20","4","0.128","339200","Papan","Sangat Laris"
"1763","Samarinda Oven 400 x 4 x 25","2","0.08","440000","Papan","Sangat Laris"
"1764","Merbau Oven 250 x 4 x 25","10","0.25","547500","Papan","Cukup Laris"
"1765","Merbau Oven 500 x 6 x 15","1","0.045","927000","Balok","Cukup Laris"
"1766","Merbau Basah 100 x 6 x 15","1","0.009","163800","Balok","Cukup Laris"
"1767","Samarinda Oven 500 x 5 x 25","8","0.5","700000","Balken","Cukup Laris"
"1768","Merbau Basah 220 x 6 x 15","12","0.2376","388080","Balok","Kurang Laris"
"1769","Merbau Basah 230 x 6 x 15","2","0.0414","405720","Balok","Cukup Laris"
"1770","Samarinda Oven 400 x 8 x 12","2","0.0768","403200","Balken","Cukup Laris"
"1771","Merbau Oven 250 x 6 x 15","40","0.9","463500","Balok","Sangat Laris"
"1772","Merbau Oven 300 x 6 x 15","26","0.702","540000","Balok","Cukup Laris"
"1773","Merbau Oven 400 x 4 x 30","11","0.528","1075200","Papan","Kurang Laris"
"1774","Merbau Oven 400 x 6 x 15","14","0.504","723600","Balok","Cukup Laris"
"1775","Merbau Oven 400 x 4 x 25","2","0.08","876000","Papan","Cukup Laris"
"1776","Meranti Oven 400 x 3 x 30","2","0.072","307800","Papan","Kurang Laris"
"1777","Meranti Oven  400 x 4 x 25","8","0.32","322000","Papan","Cukup Laris"
"1778","Meranti Oven 400 x 4 x 30","5","0.24","410400","Papan","Kurang Laris"
"1779","Samarinda Oven 250 x 6 x 15","1","0.0225","238500","Balok","Sangat Laris"
"1780","Samarinda Oven 400 x 3 x 30","2","0.072","403200","Papan","Sangat Laris"
"1781","Samarinda Oven 400 x 4 x 25","2","0.08","440000","Papan","Sangat Laris"
"1782","Samarinda Oven 500 x 6 x 15","2","0.09","477000","Balok","Cukup Laris"
"1783","SB Basah 400 x 10 x 10","2","0.08","536000","Balken","Kurang Laris"
"1784","Samarinda Oven 450 x 5 x 25","1","0.0562","630000","Balken","Kurang Laris"
"1785","Merbau Oven 400 x 6 x 12","5","0.144","578880","Balok","Cukup Laris"
"1786","Merbau Oven 400 x 4 x 25","1","0.04","886000","Papan","Cukup Laris"
"1787","Merbau Oven 500 x 4 x 20","3","0.12","904000","Papan","Kurang Laris"
"1788","Merbau Oven 500 x 4 x 25","3","0.15","1135000","Papan","Kurang Laris"
"1789","Merbau Oven 500 x 4 x 30","2","0.12","1392000","Papan","Kurang Laris"
"1790","Merbau Oven 250 x 4 x 30","1","0.03","679500","Papan","Kurang Laris"
"1791","Merbau Basah 400 x 5 x 7","4","0.056","284900","Kaso","Kurang Laris"
"1792","Merbau Basah 500 x 20 x 20","1","0.2","4760000","Balken","Kurang Laris"
"1793","Merbau Oven 250 x 4 x 25","1","0.025","547500","Papan","Cukup Laris"
"1794","Meranti Oven 400 x 3 x 30","1","0.036","307800","Papan","Kurang Laris"
"1795","Meranti Oven  400 x 4 x 25","5","0.2","322000","Papan","Cukup Laris"
"1796","Meranti Oven  400 x 6 x 15","4","0.144","253800","Balok","Sangat Laris"
"1797","Samarinda Oven 400 x 5 x 25","6","0.3","572500","Balken","Cukup Laris"
"1798","SB Basah 400 x 5 x 7","40","0.56","135800","Kaso","Cukup Laris"
"1799","Samarinda Oven 500 x 5 x 20","4","0.2","545000","Balken","Kurang Laris"
"1800","Samarinda Oven 500 x 5 x 25","4","0.25","700000","Balken","Cukup Laris"
"1801","Samarinda Oven 400 x 5 x 15","1","0.03","315000","Balok","Sangat Laris"
"1802","Samarinda Oven 300 x 6 x 15","3","0.081","279450","Balok","Sangat Laris"
"1803","Samarinda Oven 400 x 3 x 25","9","0.27","337500","Papan","Sangat Laris"
"1804","Samarinda Oven 400 x 3 x 30","3","0.108","412200","Papan","Sangat Laris"
"1805","Samarinda Oven 400 x 4 x 30","5","0.24","549600","Papan","Sangat Laris"
"1806","Merbau Basah 270 x 6 x 15","4","0.0972","476280","Balok","Kurang Laris"
"1807","SO Merah 400 x 3 x 20","5","0.12","242400","Papan","Sangat Laris"
"1808","Samarinda Oven 300 x 6 x 15","6","0.162","272700","Balok","Sangat Laris"
"1809","Samarinda Oven 400 x 3 x 25","3","0.09","330000","Papan","Sangat Laris"
"1810","Samarinda Oven 400 x 5 x 25","6","0.3","560000","Balken","Cukup Laris"
"1811","Samarinda Oven 450 x 6 x 15","2","0.081","429300","Balok","Cukup Laris"
"1812","Samarinda Oven 400 x 6 x 12","2","0.0576","290880","Balok","Sangat Laris"
"1813","Merbau Oven 300 x 6 x 15","30","0.81","540000","Balok","Cukup Laris"
"1814","Merbau Oven 300 x 6 x 17","10","0.306","630360","Balok","Kurang Laris"
"1815","Samarinda Oven 400 x 3 x 25","1","0.03","330000","Papan","Sangat Laris"
"1816","Samarinda Oven 500 x 5 x 15","22","0.825","412500","Balok","Sangat Laris"
"1817","Samarinda Oven 450 x 4 x 30","6","0.324","604800","Papan","Kurang Laris"
"1818","Samarinda Oven 300 x 4 x 30","6","0.216","403200","Papan","Kurang Laris"
"1819","Merbau Oven 500 x 3 x 30","5","0.225","1044000","Papan","Kurang Laris"
"1820","Merbau Oven 500 x 4 x 20","10","0.4","904000","Papan","Kurang Laris"
"1821","Merbau Oven 500 x 4 x 25","10","0.5","1135000","Papan","Kurang Laris"
"1822","Merbau Basah 400 x 2 x 20","1","0.016","382400","Papan","Cukup Laris"
"1823","Merbau Oven 250 x 4 x 25","2","0.05","547500","Papan","Cukup Laris"
"1824","Merbau Oven 400 x 3 x 20","2","0.048","523200","Papan","Kurang Laris"
"1825","Merbau Oven 400 x 3 x 25","2","0.06","657000","Papan","Kurang Laris"
"1826","Merbau Oven 500 x 6 x 12","1","0.036","741600","Balok","Kurang Laris"
"1827","Merbau Basah 90 x 6 x 15","10","0.081","147420","Balok","Cukup Laris"
"1828","Merbau Oven 500 x 5 x 20","1","0.05","1140000","Balken","Kurang Laris"
"1829","Merbau Oven 500 x 6 x 15","2","0.09","940500","Balok","Cukup Laris"
"1830","Merbau Basah 500 x 2 x 20","3","0.06","478000","Papan","Kurang Laris"
"1831","Merbau Oven 400 x 6 x 12","4","0.1152","578880","Balok","Cukup Laris"
"1832","Samarinda Oven 400 x 5 x 25","4","0.2","560000","Balken","Cukup Laris"
"1833","SO Merah 400 x 3 x 20","4","0.096","242400","Papan","Sangat Laris"
"1834","Samarinda Oven 300 x 6 x 15","29","0.783","272700","Balok","Sangat Laris"
"1835","Samarinda Oven 400 x 6 x 15","4","0.144","363600","Balok","Sangat Laris"
"1836","Bangkirai 400 x 6 x 15","2","0.072","630000","Balok","Kurang Laris"
"1837","Bangkirai 500 x 6 x 15","2","0.09","796500","Balok","Kurang Laris"
"1838","Samarinda Oven 400 x 3 x 30","20","0.72","403200","Papan","Sangat Laris"
"1839","Merbau Basah 400 x 2 x 25","7","0.14","480000","Papan","Kurang Laris"
"1840","Merbau Basah 400 x 2 x 30","10","0.24","588000","Papan","Kurang Laris"
"1841","Merbau Basah 400 x 15 x 40","1","0.24","5640000","Balken","Kurang Laris"
"1842","Merbau Oven 400 x 4 x 20","1","0.032","697600","Papan","Kurang Laris"
"1843","Merbau Oven 500 x 3 x 25","2","0.075","840000","Papan","Kurang Laris"
"1844","Merbau Oven 300 x 4 x 20","1","0.024","523200","Papan","Kurang Laris"
"1845","Merbau Basah 250 x 6 x 15","1","0.0225","454500","Balok","Cukup Laris"
"1846","Merbau Basah 280 x 6 x 15","2","0.0504","493920","Balok","Kurang Laris"
"1847","Merbau Basah 100 x 6 x 15","1","0.009","163800","Balok","Cukup Laris"
"1848","Merbau Basah 180 x 6 x 15","6","0.0972","294840","Balok","Cukup Laris"
"1849","Merbau Basah 230 x 6 x 15","4","0.0828","405720","Balok","Cukup Laris"
"1850","Merbau Basah 90 x 6 x 15","6","0.0486","147420","Balok","Cukup Laris"
"1851","Meranti Oven 400 x 3 x 30","2","0.072","298800","Papan","Kurang Laris"
"1852","Meranti Oven  400 x 3 x 25","7","0.21","234000","Papan","Kurang Laris"
"1853","Merbau Basah 400 x 2 x 20","4","0.064","382400","Papan","Cukup Laris"
"1854","Merbau Oven 250 x 4 x 25","2","0.05","547500","Papan","Cukup Laris"
"1855","Merbau Oven 400 x 3 x 25","1","0.03","657000","Papan","Kurang Laris"
"1856","Merbau Basah 110 x 6 x 15","4","0.0396","180180","Balok","Kurang Laris"
"1857","Meranti Oven  400 x 6 x 12 ","1","0.0288","195840","Balok","Cukup Laris"
"1858","SO Merah 400 x 3 x 20","4","0.096","242400","Papan","Sangat Laris"
"1859","Merbau Oven 400 x 5 x 20","1","0.04","880000","Balken","Kurang Laris"
"1860","Merbau Oven 500 x 3 x 30","4","0.18","1030500","Papan","Kurang Laris"
"1861","Merbau Basah 120 x 6 x 15","1","0.0108","196560","Balok","Kurang Laris"
"1862","Merbau Basah 290 x 6 x 15","2","0.0522","511560","Balok","Kurang Laris"
"1863","Merbau Basah 500 x 2 x 20","2","0.04","478000","Papan","Kurang Laris"
"1864","Merbau Oven 500 x 6 x 15","2","0.09","927000","Balok","Cukup Laris"
"1865","Meranti Oven  400 x 6 x 12 ","1","0.0288","195840","Balok","Cukup Laris"
"1866","Merbau Oven 250 x 4 x 20","9","0.18","436000","Papan","Cukup Laris"
"1867","Samarinda Oven 400 x 5 x 15","1","0.03","315000","Balok","Sangat Laris"
"1868","Samarinda Oven 500 x 5 x 15","7","0.2625","412500","Balok","Sangat Laris"
"1869","Merbau Basah 400 x 2 x 30","7","0.168","588000","Papan","Kurang Laris"
