"Nomor","Keterangan","Jumlah","Volume","Harga","Jenis Barang","Label"
"1386","Samarinda Oven 400 x 8 x 15","1","0.048","465600","Balken","Kurang Laris"
"1387","Samarinda Oven 500 x 8 x 15","1","0.06","612000","Balken","Kurang Laris"
"1388","Merbau Basah 100 x 6 x 15","3","0.027","163800","Balok","Cukup Laris"
"1389","Merbau Basah 120 x 6 x 15","9","0.0972","196560","Balok","Kurang Laris"
"1390","Merbau Basah 140 x 6 x 15","5","0.063","229320","Balok","Kurang Laris"
"1391","Merbau Basah 180 x 6 x 15","4","0.0648","294840","Balok","Cukup Laris"
"1392","Merbau Basah 250 x 6 x 15","4","0.09","454500","Balok","Cukup Laris"
"1393","Merbau Basah 450 x 6 x 15","9","0.3645","818100","Balok","Kurang Laris"
"1394","SB Basah 400 x 15 x 15","5","0.45","1134000","Balken","Kurang Laris"
"1395","Samarinda Oven 400 x 5 x 30","1","0.06","618000","Balken","Kurang Laris"
"1396","Samarinda Oven 500 x 4 x 25","1","0.05","495000","Papan","Sangat Laris"
"1397","Samarinda Oven 500 x 5 x 25","2","0.125","631250","Balken","Cukup Laris"
"1398","Meranti Oven  400 x 6 x 12 ","4","0.1152","195840","Balok","Cukup Laris"
"1399","Meranti Oven  400 x 6 x 15","5","0.18","244800","Balok","Sangat Laris"
"1400","Merbau Oven 400 x 3 x 20","1","0.024","523200","Papan","Kurang Laris"
"1401","Merbau Oven 500 x 3 x 25","1","0.0375","840000","Papan","Kurang Laris"
"1402","Samarinda Oven 400 x 3 x 30","2","0.072","363600","Papan","Sangat Laris"
"1403","Samarinda Oven 400 x 4 x 25","2","0.08","396000","Papan","Sangat Laris"
"1404","Merbau Oven 400 x 4 x 25","5","0.2","876000","Papan","Cukup Laris"
"1405","Merbau Oven 400 x 6 x 15","7","0.252","723600","Balok","Cukup Laris"
"1406","SO Merah 400 x 3 x 20","1","0.024","223200","Papan","Sangat Laris"
"1407","Meranti Oven  400 x 6 x 15","33","1.188","253800","Balok","Sangat Laris"
"1408","Merbau Oven 500 x 4 x 35","1","0.07","1631000","Papan","Kurang Laris"
"1409","Merbau Oven 500 x 4 x 40","1","0.08","1864000","Papan","Kurang Laris"
"1410","Merbau Basah 150 x 6 x 15","2","0.027","245700","Balok","Cukup Laris"
"1411","Merbau Basah 250 x 6 x 15","2","0.045","454500","Balok","Cukup Laris"
"1412","Samarinda Oven 400 x 5 x 30","2","0.12","618000","Balken","Kurang Laris"
"1413","Samarinda Oven 500 x 4 x 30","2","0.12","606000","Papan","Cukup Laris"
"1414","Samarinda Oven 500 x 6 x 15","8","0.36","441000","Balok","Cukup Laris"
"1415","Merbau Oven 400 x 4 x 20","2","0.064","697600","Papan","Kurang Laris"
"1416","Merbau Oven 400 x 4 x 25","6","0.24","876000","Papan","Cukup Laris"
"1417","Merbau Oven 500 x 4 x 25","2","0.1","1120000","Papan","Kurang Laris"
"1418","Meranti Oven  400 x 4 x 25","6","0.24","312000","Papan","Cukup Laris"
"1419","Samarinda Oven 500 x 4 x 25","1","0.05","495000","Papan","Sangat Laris"
"1420","Merbau Oven 300 x 4 x 30","6","0.216","806400","Papan","Kurang Laris"
"1421","Merbau Oven 400 x 5 x 25","1","0.05","1100000","Balken","Kurang Laris"
"1422","Merbau Oven 500 x 5 x 15","4","0.15","791250","Balok","Cukup Laris"
"1423","Merbau Basah 100 x 6 x 15","3","0.027","163800","Balok","Cukup Laris"
"1424","Merbau Basah 120 x 6 x 15","1","0.0108","196560","Balok","Kurang Laris"
"1425","Merbau Basah 270 x 6 x 15","8","0.1944","476280","Balok","Kurang Laris"
"1426","Merbau Basah 400 x 2 x 25","2","0.04","480000","Papan","Kurang Laris"
"1427","Meranti Oven  400 x 6 x 15","6","0.216","244800","Balok","Sangat Laris"
"1428","Merbau Oven 250 x 6 x 15","6","0.135","463500","Balok","Sangat Laris"
"1429","Merbau Basah 100 x 6 x 15","5","0.045","163800","Balok","Cukup Laris"
"1430","Merbau Basah 260 x 6 x 15","10","0.234","458640","Balok","Cukup Laris"
"1431","Merbau Basah 280 x 6 x 15","6","0.1512","493920","Balok","Kurang Laris"
"1432","Merbau Basah 90 x 6 x 15","3","0.0243","147420","Balok","Cukup Laris"
"1433","Meranti Oven  400 x 6 x 12 ","2","0.0576","195840","Balok","Cukup Laris"
"1434","Merbau Oven 400 x 3 x 25","2","0.06","657000","Papan","Kurang Laris"
"1435","Merbau Oven 400 x 4 x 25","1","0.04","876000","Papan","Cukup Laris"
"1436","Merbau Oven 400 x 6 x 12","3","0.0864","578880","Balok","Cukup Laris"
"1437","Merbau Oven 250 x 4 x 20","1","0.02","436000","Papan","Cukup Laris"
"1438","Merbau Oven 300 x 4 x 20","1","0.024","523200","Papan","Kurang Laris"
"1439","Samarinda Oven 400 x 5 x 25","22","1.1","505000","Balken","Cukup Laris"
